FUNCTION NAME,DESCRIPTION
test.support.catch_threading_exception(),"Context manager catching threading.Thread exception using
threading.excepthook().
Attributes set when an exception is catched:

exc_type
exc_value
exc_traceback
thread

See threading.excepthook() documentation.
These attributes are deleted at the context manager exit.
Usage:
with support.catch_threading_exception() as cm:
    # code spawning a thread which raises an exception
    ...

    # check the thread exception, use cm attributes:
    # exc_type, exc_value, exc_traceback, thread
    ...

# exc_type, exc_value, exc_traceback, thread attributes of cm no longer
# exists at this point
# (to avoid reference cycles)



New in version 3.8."
test.support.catch_unraisable_exception(),"Context manager catching unraisable exception using
sys.unraisablehook().
Storing the exception value (cm.unraisable.exc_value) creates a
reference cycle. The reference cycle is broken explicitly when the context
manager exits.
Storing the object (cm.unraisable.object) can resurrect it if it is set
to an object which is being finalized. Exiting the context manager clears
the stored object.
Usage:
with support.catch_unraisable_exception() as cm:
    # code creating an ""unraisable exception""
    ...

    # check the unraisable exception: use cm.unraisable
    ...

# cm.unraisable attribute no longer exists at this point
# (to break a reference cycle)



New in version 3.8."
"test.support.find_unused_port(family=socket.AF_INET, socktype=socket.SOCK_STREAM)","Returns an unused port that should be suitable for binding.  This is
achieved by creating a temporary socket with the same family and type as
the sock parameter (default is AF_INET,
SOCK_STREAM),
and binding it to the specified host address (defaults to 0.0.0.0)
with the port set to 0, eliciting an unused ephemeral port from the OS.
The temporary socket is then closed and deleted, and the ephemeral port is
returned.
Either this method or bind_port() should be used for any tests
where a server socket needs to be bound to a particular port for the
duration of the test.
Which one to use depends on whether the calling code is creating a Python
socket, or if an unused port needs to be provided in a constructor
or passed to an external program (i.e. the -accept argument to
openssl’s s_server mode).  Always prefer bind_port() over
find_unused_port() where possible.  Using a hard coded port is
discouraged since it can make multiple instances of the test impossible to
run simultaneously, which is a problem for buildbots."
"test.support.load_package_tests(pkg_dir, loader, standard_tests, pattern)","Generic implementation of the unittest load_tests protocol for
use in test packages.  pkg_dir is the root directory of the package;
loader, standard_tests, and pattern are the arguments expected by
load_tests.  In simple cases, the test package’s __init__.py
can be the following:
import os
from test.support import load_package_tests

def load_tests(*args):
    return load_package_tests(os.path.dirname(__file__), *args)"
test.support.fs_is_case_insensitive(directory),Return True if the file system for directory is case-insensitive.
"test.support.detect_api_mismatch(ref_api, other_api, *, ignore=())","Returns the set of attributes, functions or methods of ref_api not
found on other_api, except for a defined list of items to be
ignored in this check specified in ignore.
By default this skips private attributes beginning with ‘_’ but
includes all magic methods, i.e. those starting and ending in ‘__’.

New in version 3.5."
"test.support.patch(test_instance, object_to_patch, attr_name, new_value)","Override object_to_patch.attr_name with new_value.  Also add
cleanup procedure to test_instance to restore object_to_patch for
attr_name.  The attr_name should be a valid attribute for
object_to_patch."
test.support.run_in_subinterp(code),"Run code in subinterpreter.  Raise unittest.SkipTest if
tracemalloc is enabled."
"test.support.check_free_after_iterating(test, iter, cls, args=())",Assert that iter is deallocated after iterating.
test.support.missing_compiler_executable(cmd_names=[]),"Check for the existence of the compiler executables whose names are listed
in cmd_names or all the compiler executables when cmd_names is empty
and return the first missing executable or None when none is found
missing."
"test.support.check__all__(test_case, module, name_of_module=None, extra=(), blacklist=())","Assert that the __all__ variable of module contains all public names.
The module’s public names (its API) are detected automatically
based on whether they match the public name convention and were defined in
module.
The name_of_module argument can specify (as a string or tuple thereof) what
module(s) an API could be defined in order to be detected as a public
API. One case for this is when module imports part of its public API from
other modules, possibly a C backend (like csv and its _csv).
The extra argument can be a set of names that wouldn’t otherwise be automatically
detected as “public”, like objects without a proper __module__
attribute. If provided, it will be added to the automatically detected ones.
The blacklist argument can be a set of names that must not be treated as part of
the public API even though their names indicate otherwise.
Example use:
import bar
import foo
import unittest
from test import support

class MiscTestCase(unittest.TestCase):
    def test__all__(self):
        support.check__all__(self, foo)

class OtherTestCase(unittest.TestCase):
    def test__all__(self):
        extra = {'BAR_CONST', 'FOO_CONST'}
        blacklist = {'baz'}  # Undocumented name.
        # bar imports part of its API from _bar.
        support.check__all__(self, bar, ('bar', '_bar'),
                             extra=extra, blacklist=blacklist)



New in version 3.6."
